id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date
115,Berton,ios web,Paid,1/8/16,NA,NA,,,NA,NA
116,Wrouver,ios web,Paid,1/21/16,2/11/16,NA,,,NA,NA
117,Strark,ios web,Paid,1/8/16,2/9/16,NA,,,NA,NA
118,Berton,android web,Organic,1/13/16,2/9/16,NA,,,NA,NA
119,Berton,ios web,Referral,1/11/16,1/15/16,1/15/16,Honda,CR-V,2014,1/17/16
120,Strark,,Referral,1/8/16,2/5/16,NA,,,NA,NA
121,Strark,android web,Paid,1/20/16,NA,NA,,,NA,NA
122,Berton,windows,Paid,1/1/16,1/17/16,NA,,,NA,NA
123,Strark,android web,Paid,1/13/16,1/15/16,1/16/16,Jeep,Grand Cherokee,2014,2/11/16
124,Strark,other,Organic,1/25/16,1/25/16,NA,,,NA,NA
125,Strark,ios web,Paid,1/29/16,2/17/16,2/17/16,Toyota,Prius,2015,2/22/16
126,Strark,ios web,Referral,1/11/16,1/22/16,NA,,,NA,NA
127,Berton,ios web,Referral,1/7/16,NA,2/20/16,Toyota,Corolla,2016,NA
128,Berton,ios web,Organic,1/4/16,1/6/16,1/8/16,Honda,Odyssey,2008,1/10/16
129,Berton,ios web,Paid,1/25/16,1/27/16,NA,,,NA,2/16/16
130,Strark,,Referral,1/6/16,NA,NA,,,NA,NA
131,Strark,ios web,Paid,1/30/16,1/31/16,NA,,,NA,NA
132,Strark,ios web,Referral,1/24/16,2/2/16,NA,,,NA,NA
133,Berton,ios web,Paid,1/5/16,1/23/16,1/25/16,Volkswagen,GTI,2007,NA
134,Strark,ios web,Organic,1/12/16,1/16/16,2/23/16,Honda,Civic,2012,NA
135,Berton,ios web,Paid,1/8/16,NA,NA,,,NA,NA
136,Strark,android web,Referral,1/4/16,1/27/16,NA,,,NA,NA
137,Berton,windows,Organic,1/6/16,2/7/16,NA,,,NA,NA
138,Strark,ios web,Referral,1/19/16,1/22/16,1/24/16,Nissan,Versa,2014,2/5/16
139,Berton,ios web,Organic,1/3/16,1/10/16,NA,,,NA,NA
140,Berton,ios web,Paid,1/23/16,1/30/16,2/4/16,Kia,Optima,2014,NA
141,Strark,ios web,Paid,1/8/16,1/27/16,NA,,,NA,NA
142,Berton,,Referral,1/30/16,2/1/16,NA,,,NA,NA
143,Berton,android web,Paid,1/22/16,2/15/16,NA,,,NA,NA
144,Berton,ios web,Organic,1/5/16,2/3/16,2/15/16,Ford,F-150,2001,NA
145,Berton,ios web,Paid,1/28/16,2/22/16,NA,,,NA,NA
146,Wrouver,other,Referral,1/11/16,1/24/16,NA,,,NA,NA
147,Strark,windows,Referral,1/7/16,1/13/16,1/25/16,Audi,A4,2015,1/28/16
148,Strark,,Referral,1/4/16,NA,NA,,,NA,NA
149,Strark,windows,Organic,1/3/16,1/3/16,2/3/16,Honda,Insight Hybrid,2010,NA
150,Strark,android web,Organic,1/30/16,2/6/16,2/15/16,Hyundai,Elantra,2014,NA
151,Berton,mac,Referral,1/5/16,1/9/16,NA,,,NA,NA
152,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
153,Strark,ios web,Paid,1/22/16,2/10/16,NA,,,NA,NA
154,Berton,android web,Referral,1/12/16,1/21/16,NA,,,NA,NA
155,Berton,other,Organic,1/12/16,1/18/16,NA,,,NA,NA
156,Berton,mac,Organic,1/26/16,1/26/16,1/28/16,Acura,RDX,2015,1/28/16
157,Berton,mac,Paid,1/2/16,NA,NA,,,NA,NA
158,Berton,android web,Paid,1/9/16,2/21/16,2/21/16,Toyota,Camry,2016,NA
159,Strark,android web,Paid,1/14/16,1/19/16,NA,,,NA,NA
160,Berton,android web,Organic,1/26/16,1/28/16,NA,,,NA,NA
161,Strark,android web,Paid,1/20/16,2/3/16,NA,,,NA,NA
162,Strark,ios web,Referral,1/4/16,1/4/16,1/11/16,Nissan,Sentra,2015,1/11/16
163,Berton,windows,Paid,1/10/16,1/12/16,NA,,,NA,NA
164,Wrouver,other,Paid,1/22/16,2/22/16,NA,,,NA,NA
165,Strark,mac,Organic,1/27/16,2/3/16,NA,,,NA,NA
166,Berton,other,Referral,1/29/16,1/29/16,1/29/16,Chevrolet,Malibu,2015,1/29/16
167,Berton,other,Paid,1/23/16,2/10/16,NA,,,NA,NA
168,Strark,windows,Paid,1/2/16,1/2/16,1/4/16,Kia,Soul,2011,1/11/16
169,Strark,windows,Organic,1/21/16,1/31/16,NA,,,NA,NA
170,Strark,mac,Referral,1/27/16,2/9/16,2/12/16,Honda,Civic,2015,NA
171,Berton,ios web,Referral,1/21/16,1/22/16,2/2/16,Nissan,Altima,2008,2/1/16
172,Berton,,Referral,1/7/16,1/7/16,2/3/16,Jeep,Grand Cherokee,2006,NA
173,Berton,android web,Paid,1/17/16,1/20/16,2/2/16,Dodge,Journey,2009,NA
174,Berton,,Organic,1/29/16,NA,NA,,,NA,NA
175,Berton,ios web,Referral,1/6/16,1/6/16,1/9/16,Jeep,Compass,2011,1/11/16
176,Strark,other,Organic,1/25/16,1/25/16,1/28/16,BMW,3-series,2012,1/27/16
177,Strark,windows,Paid,1/21/16,1/26/16,1/27/16,Infiniti,G Sedan,2012,1/28/16
178,Berton,ios web,Referral,1/29/16,2/7/16,NA,,,NA,NA
179,Berton,ios web,Paid,1/16/16,2/1/16,2/29/16,Chevrolet,Cruze,2012,NA
180,Berton,mac,Paid,1/14/16,1/26/16,2/15/16,Subaru,Forester,2009,NA
181,Berton,windows,Referral,1/28/16,1/29/16,1/29/16,Honda,Civic,2012,NA
182,Strark,ios web,Referral,1/12/16,1/18/16,NA,,,NA,1/25/16
183,Strark,ios web,Paid,1/25/16,1/29/16,2/11/16,Honda,Odyssey,2014,2/13/16
184,Strark,android web,Referral,1/28/16,NA,NA,,,NA,NA
185,Strark,ios web,Referral,1/14/16,1/26/16,2/7/16,Buick,Century,2001,2/7/16
186,Strark,android web,Referral,1/2/16,1/19/16,1/20/16,Toyota,Camry,2016,NA
187,Strark,android web,Paid,1/27/16,1/27/16,1/28/16,Hyundai,Elantra,2016,2/22/16
188,Strark,ios web,Referral,1/11/16,1/28/16,NA,,,NA,NA
189,Strark,android web,Organic,1/9/16,1/22/16,1/27/16,Honda,Accord,2012,NA
190,Strark,android web,Referral,1/23/16,1/26/16,1/27/16,Kia,Optima,2004,2/20/16
191,Berton,windows,Paid,1/9/16,1/14/16,NA,,,NA,NA
192,Strark,windows,Paid,1/13/16,2/11/16,NA,,,NA,NA
193,Wrouver,ios web,Paid,1/15/16,NA,NA,,,NA,NA
194,Strark,android web,Referral,1/17/16,1/17/16,1/17/16,Mazda,MAZDA3,2016,1/27/16
195,Berton,ios web,Referral,1/9/16,1/9/16,1/10/16,Subaru,XV Crosstrek,2016,1/18/16
196,Strark,ios web,Organic,1/30/16,1/31/16,NA,,,NA,NA
197,Berton,ios web,Paid,1/8/16,NA,NA,,,NA,NA
198,Strark,android web,Referral,1/14/16,1/22/16,1/23/16,Dodge,Charger,2006,1/27/16
199,Strark,ios web,Paid,1/24/16,NA,NA,,,NA,NA
200,Strark,mac,Organic,1/5/16,1/7/16,1/8/16,Kia,Optima,2012,1/10/16
201,Strark,android web,Paid,1/13/16,1/14/16,1/14/16,Ford,Flex,2010,1/21/16
202,Berton,android web,Referral,1/8/16,1/11/16,1/23/16,BMW,7-series,2008,NA
203,Berton,android web,Paid,1/10/16,1/14/16,NA,,,NA,NA
204,Strark,android web,Paid,1/11/16,1/25/16,2/15/16,Toyota,Corolla,2016,NA
205,Strark,,Referral,1/20/16,1/26/16,2/5/16,Toyota,RAV4,2015,NA
206,Strark,android web,Organic,1/13/16,1/24/16,2/4/16,Dodge,Charger,2014,2/8/16
207,Wrouver,ios web,Paid,1/7/16,NA,NA,,,NA,NA
208,Strark,android web,Organic,1/17/16,2/4/16,NA,,,NA,NA
209,Berton,android web,Referral,1/29/16,1/29/16,2/1/16,Chevrolet,Traverse,2011,1/31/16
210,Strark,,Referral,1/10/16,2/15/16,NA,,,NA,NA
211,Berton,ios web,Organic,1/17/16,NA,NA,,,NA,NA
212,Strark,ios web,Paid,1/6/16,1/14/16,NA,,,NA,NA
213,Strark,android web,Paid,1/16/16,NA,NA,,,NA,NA
214,Strark,,Referral,1/6/16,NA,NA,,,NA,NA
215,Strark,android web,Referral,1/8/16,1/12/16,NA,,,NA,NA
216,Berton,ios web,Paid,1/21/16,2/4/16,2/13/16,Dodge,Avenger,2009,NA
217,Berton,ios web,Referral,1/20/16,1/20/16,1/23/16,Volkswagen,Jetta,2002,1/31/16
218,Strark,,Organic,1/22/16,NA,NA,,,NA,NA
219,Berton,windows,Paid,1/4/16,NA,NA,,,NA,NA
220,Berton,android web,Paid,1/20/16,1/27/16,NA,,,NA,NA
221,Berton,android web,Paid,1/29/16,2/6/16,2/6/16,Honda,Civic,2007,NA
222,Strark,ios web,Paid,1/21/16,NA,NA,,,NA,NA
223,Strark,,Referral,1/11/16,NA,NA,,,NA,NA
224,Strark,android web,Organic,1/10/16,2/10/16,2/28/16,Ford,Expedition,2005,NA
225,Wrouver,windows,Paid,1/24/16,NA,NA,,,NA,NA
226,Berton,android web,Paid,1/29/16,2/12/16,NA,,,NA,NA
227,Strark,android web,Paid,1/13/16,1/21/16,2/8/16,Nissan,Sentra,2006,NA
228,Strark,android web,Paid,1/8/16,NA,NA,,,NA,NA
229,Strark,,Referral,1/3/16,NA,NA,,,NA,NA
230,Berton,android web,Paid,1/26/16,2/23/16,NA,,,NA,NA
231,Berton,ios web,Referral,1/22/16,1/29/16,1/30/16,Lexus,ES,2007,NA
232,Strark,android web,Referral,1/15/16,1/15/16,1/17/16,Audi,A4,2009,1/22/16
233,Berton,ios web,Organic,1/9/16,1/12/16,2/23/16,Honda,Civic,2011,NA
234,Strark,,Referral,1/20/16,1/26/16,NA,,,NA,NA
235,Strark,android web,Referral,1/10/16,1/11/16,1/12/16,Nissan,Sentra,2011,NA
236,Strark,,Referral,1/5/16,NA,NA,,,NA,NA
237,Berton,android web,Organic,1/4/16,1/4/16,NA,,,NA,NA
238,Strark,other,Paid,1/22/16,NA,NA,,,NA,NA
239,Wrouver,mac,Organic,1/24/16,2/12/16,NA,,,NA,NA
240,Berton,ios web,Referral,1/22/16,1/27/16,2/5/16,Honda,Civic,2015,NA
241,Berton,ios web,Paid,1/30/16,2/6/16,NA,,,NA,NA
242,Berton,,Organic,1/29/16,1/29/16,NA,,,NA,NA
243,Strark,mac,Referral,1/5/16,1/28/16,1/28/16,Lexus,IS,2008,NA
244,Berton,windows,Referral,1/21/16,1/21/16,1/24/16,Toyota,Prius,2014,1/27/16
245,Berton,ios web,Referral,1/2/16,1/13/16,1/24/16,Chrysler,Town and Country,2012,2/1/16
246,Strark,,Organic,1/12/16,NA,NA,,,NA,NA
247,Berton,mac,Referral,1/12/16,NA,NA,,,NA,NA
248,Strark,android web,Referral,1/1/16,1/1/16,NA,,,NA,NA
249,Strark,android web,Organic,1/9/16,1/21/16,NA,,,NA,NA
250,Berton,,Referral,1/3/16,NA,NA,,,NA,NA
251,Berton,mac,Paid,1/1/16,1/5/16,1/22/16,Toyota,Sienna,2001,NA
252,Strark,windows,Organic,1/10/16,NA,NA,,,NA,NA
253,Strark,ios web,Paid,1/19/16,NA,NA,,,NA,NA
254,Strark,ios web,Referral,1/25/16,1/25/16,1/27/16,Scion,iM,2016,1/27/16
255,Strark,,Organic,1/28/16,NA,NA,,,NA,NA
256,Wrouver,android web,Paid,1/9/16,1/19/16,NA,,,NA,NA
257,Berton,other,Organic,1/3/16,1/8/16,1/7/16,Nissan,Sentra,2014,1/12/16
258,Strark,windows,Paid,1/2/16,1/16/16,NA,,,NA,NA
259,Berton,android web,Organic,1/28/16,1/28/16,NA,,,NA,NA
260,Berton,mac,Referral,1/28/16,2/6/16,2/13/16,Ford,Freestyle,2006,NA
261,Strark,android web,Paid,1/28/16,NA,NA,,,NA,NA
262,Strark,android web,Referral,1/30/16,2/17/16,NA,,,NA,NA
263,Strark,ios web,Organic,1/3/16,1/6/16,1/26/16,Toyota,RAV4,2014,NA
264,Berton,android web,Paid,1/14/16,1/21/16,1/27/16,Nissan,Versa,2014,2/5/16
265,Berton,other,Organic,1/14/16,1/17/16,NA,,,NA,NA
266,Wrouver,android web,Paid,1/1/16,NA,NA,,,NA,NA
267,Strark,windows,Paid,1/18/16,1/18/16,1/25/16,Nissan,Altima,2015,1/28/16
268,Strark,ios web,Paid,1/12/16,2/15/16,NA,,,NA,NA
269,Strark,,Paid,1/21/16,1/26/16,NA,,,NA,NA
270,Berton,android web,Paid,1/12/16,1/22/16,NA,,,NA,NA
271,Berton,windows,Paid,1/28/16,1/28/16,NA,,,NA,NA
272,Berton,other,Organic,1/26/16,1/26/16,NA,,,NA,NA
273,Berton,android web,Paid,1/20/16,1/22/16,NA,,,NA,NA
274,Strark,,Organic,1/15/16,1/23/16,1/27/16,Saturn,VUE,2003,NA
275,Strark,android web,Referral,1/6/16,1/20/16,2/20/16,Honda,Accord,2012,NA
276,Strark,other,Organic,1/17/16,1/18/16,NA,,,NA,NA
277,Strark,windows,Paid,1/9/16,1/30/16,NA,,,NA,NA
278,Strark,ios web,Paid,1/18/16,2/20/16,NA,,,NA,NA
279,Berton,ios web,Referral,1/8/16,1/20/16,NA,,,NA,NA
280,Berton,windows,Organic,1/19/16,1/25/16,2/6/16,Toyota,Avalon,2014,NA
281,Strark,mac,Paid,1/19/16,1/19/16,1/23/16,Toyota,Tacoma,2016,2/3/16
282,Strark,mac,Paid,1/21/16,NA,NA,,,NA,NA
283,Strark,android web,Organic,1/3/16,NA,NA,,,NA,NA
284,Strark,windows,Referral,1/18/16,2/7/16,2/25/16,Mazda,MAZDA6,2014,NA
285,Berton,ios web,Referral,1/1/16,1/18/16,NA,,,NA,NA
286,Berton,mac,Paid,1/27/16,NA,NA,,,NA,NA
287,Strark,android web,Referral,1/13/16,1/14/16,NA,,,NA,NA
288,Strark,android web,Referral,1/4/16,1/5/16,1/5/16,Lexus,IS,2007,1/5/16
289,Strark,,Organic,1/25/16,NA,NA,,,NA,NA
290,Strark,mac,Referral,1/5/16,1/8/16,NA,,,NA,NA
291,Strark,ios web,Organic,1/21/16,1/29/16,2/2/16,Dodge,Dart,2013,2/3/16
292,Strark,mac,Referral,1/7/16,1/10/16,NA,,,NA,NA
293,Strark,other,Paid,1/14/16,1/30/16,1/31/16,Kia,Soul,2014,2/1/16
294,Strark,ios web,Organic,1/25/16,2/5/16,2/11/16,Honda,Accord,2015,NA
295,Strark,android web,Paid,1/19/16,1/19/16,NA,,,NA,NA
296,Berton,ios web,Referral,1/27/16,NA,NA,,,NA,NA
297,Berton,ios web,Organic,1/25/16,NA,NA,,,NA,NA
298,Strark,ios web,Organic,1/18/16,1/20/16,1/24/16,Chevrolet,Suburban,2007,NA
299,Strark,,Referral,1/11/16,NA,NA,,,NA,NA
300,Strark,ios web,Referral,1/6/16,1/18/16,NA,,,NA,NA
301,Strark,other,Paid,1/6/16,NA,NA,,,NA,NA
302,Strark,android web,Organic,1/14/16,1/14/16,2/16/16,Honda,Odyssey,2005,NA
303,Berton,ios web,Paid,1/22/16,NA,NA,,,NA,NA
304,Wrouver,other,Organic,1/19/16,NA,NA,,,NA,NA
305,Strark,mac,Paid,1/5/16,1/12/16,2/1/16,Nissan,Xterra,2007,NA
306,Berton,ios web,Paid,1/4/16,1/8/16,NA,,,NA,NA
307,Berton,,Referral,1/11/16,NA,NA,,,NA,NA
308,Strark,android web,Referral,1/3/16,2/14/16,2/18/16,Dodge,Avenger,2012,NA
309,Strark,ios web,Referral,1/14/16,1/20/16,1/20/16,Honda,Civic,2014,1/20/16
310,Strark,android web,Referral,1/20/16,1/21/16,NA,,,NA,NA
311,Strark,android web,Referral,1/11/16,1/14/16,2/12/16,Kia,Forte,2017,NA
312,Strark,windows,Referral,1/5/16,1/17/16,1/20/16,Lexus,IS,2014,1/24/16
313,Strark,windows,Paid,1/23/16,1/30/16,1/30/16,Toyota,Highlander,2013,2/15/16
314,Strark,ios web,Referral,1/5/16,NA,NA,,,NA,NA
315,Strark,ios web,Paid,1/30/16,2/5/16,NA,,,NA,NA
316,Strark,,Referral,1/23/16,1/30/16,NA,,,NA,NA
317,Strark,windows,Paid,1/8/16,1/8/16,1/8/16,Hyundai,Santa Fe,2016,1/13/16
318,Berton,android web,Organic,1/3/16,2/18/16,2/29/16,Toyota,Camry,2014,NA
319,Strark,android web,Organic,1/2/16,NA,NA,,,NA,NA
320,Strark,other,Organic,1/11/16,1/11/16,NA,,,NA,NA
321,Berton,ios web,Paid,1/2/16,NA,NA,,,NA,NA
322,Strark,windows,Paid,1/27/16,1/27/16,NA,,,NA,NA
323,Strark,ios web,Paid,1/4/16,1/16/16,NA,,,NA,NA
324,Strark,windows,Paid,1/25/16,1/25/16,NA,,,NA,NA
325,Berton,ios web,Paid,1/29/16,NA,NA,,,NA,NA
326,Berton,,Referral,1/11/16,1/26/16,NA,,,NA,NA
327,Strark,android web,Referral,1/19/16,1/26/16,1/26/16,Nissan,Sentra,2014,1/30/16
328,Wrouver,,Organic,1/25/16,1/25/16,NA,,,NA,NA
329,Strark,android web,Paid,1/28/16,2/14/16,NA,,,NA,NA
330,Berton,ios web,Organic,1/13/16,2/4/16,NA,,,NA,NA
331,Strark,,Referral,1/6/16,1/8/16,NA,,,NA,NA
332,Berton,android web,Organic,1/2/16,1/8/16,1/8/16,BMW,3-series,2012,1/10/16
333,Strark,windows,Referral,1/8/16,NA,NA,,,NA,NA
334,Strark,ios web,Referral,1/5/16,1/29/16,NA,,,NA,NA
335,Berton,mac,Paid,1/13/16,2/15/16,NA,,,NA,NA
336,Berton,windows,Referral,1/15/16,2/14/16,NA,,,NA,NA
337,Berton,android web,Referral,1/23/16,1/25/16,2/28/16,Toyota,Prius V,2014,NA
338,Berton,mac,Referral,1/18/16,1/19/16,1/19/16,Ford,Focus,2013,1/23/16
339,Strark,android web,Referral,1/13/16,1/18/16,2/22/16,Honda,Accord,2016,NA
340,Wrouver,windows,Referral,1/6/16,NA,NA,,,NA,NA
341,Strark,,Organic,1/28/16,NA,NA,,,NA,NA
342,Wrouver,other,Paid,1/29/16,2/18/16,NA,,,NA,NA
343,Strark,ios web,Paid,1/18/16,NA,NA,,,NA,NA
344,Berton,android web,Paid,1/23/16,2/8/16,NA,,,NA,NA
345,Strark,ios web,Paid,1/27/16,NA,NA,,,NA,NA
346,Berton,ios web,Paid,1/8/16,1/31/16,2/12/16,Toyota,Sienna,2006,NA
347,Wrouver,,Organic,1/19/16,NA,NA,,,NA,NA
348,Strark,android web,Paid,1/5/16,1/7/16,NA,,,NA,NA
349,Berton,android web,Referral,1/22/16,1/22/16,1/25/16,Toyota,Prius,2013,NA
350,Strark,android web,Paid,1/25/16,NA,NA,,,NA,NA
351,Berton,android web,Paid,1/1/16,1/27/16,NA,,,NA,NA
352,Strark,ios web,Referral,1/18/16,2/2/16,NA,,,NA,NA
353,Berton,android web,Paid,1/1/16,1/1/16,NA,,,NA,NA
354,Strark,android web,Referral,1/5/16,1/9/16,NA,,,NA,NA
